property,sw_price,mo_price
"1817-21 Portal St, Baltimore",97.85,
"W/G 10097 Baltimore National Pike, Ellicott City (15553)",28.0,
"W/G 10410 York Road, Cockeysville (15130)",28.0,
"W/G 12400 Auto Drive, Clarksville (10539)",28.0,
"W/G 1260 Liberty Road, Eldersburg (07678)",28.0,
W/G 1300 E North Ave (05408),28.0,
"W/G 1801 York Road, Lutherville (12847)",28.0,
"W/G 2204 N. Rolling Road, Windsor MillÂ (06320)",28.0,
"W/G 2310 W Patapsco Ave, Baltimore (06366)",28.0,
"W/G 3005 Emmorton, Abington (07357)",28.0,
"W/G 3801 Liberty Heights Ave, Baltimore (05623)",28.0,
"W/G 4020 Eastern Ave, Baltimore (05409)",28.0,
W/G 4025 W Northern Parkway (05638),28.0,
"W/G 496 Ritchie Hwy, Severna Park (11501)",28.0,
"W/G 5585 Twin Knolls, Columbia (11949)",28.0,
"W/G 5657 Baltimore National Pike, Catonsville (07574)",28.0,
"W/G 5740 Ritchie Hwy, Brooklyn (06007)",28.0,
"W/G 6 S Maryln Ave, Essex (02446)",28.0,
"W/G 600 Washington Blvd, Laurel (15185)",28.0,
"W/G 6301 York Road, Baltimore (07573)",28.0,
"W/G 6323 Baltimore National Pike, Catonsville (12790)",28.0,
W/G 6700 Ritchie Hwy (09028),28.0,
W/G 7901 Ritchie Highway (07754),28.0,
"W/G 7953 Crain Hwy S, Glen Burnie (07701)",28.0,
"W/G 8050 Liberty Road, Windsor Mill (05331)",28.0,
"W/G 8374 Piney Orchard Parkway, Odenton (13816)",28.0,
W/G 9110 Liberty Road (06265),28.0,
"W/G 9616 Harford Road, Baltimore (06779)",28.0,
"W/G 9621 Belair Road, Baltimore (05587)",28.0,
"Walmart (6205 Baltimore National, Catonsville)",,
"Walmart (645 Philadelphia, Aberdeen)",,
